epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,95.0193,1.70217,1.61749,0.00791,0.58004,0.50619,0.5445,0.30946,1.65098,1.53142,0.00972,0.0295693,0.00985645,0.0295693,0.00985645,0.0295693,0.00985645,0.0295693,0.00985645
31,97.9541,1.67599,1.5848,0.00802,0.63097,0.53876,0.55915,0.31072,1.65104,1.61245,0.00964,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
32,100.924,1.68281,1.5641,0.00774,0.58799,0.54439,0.55032,0.30347,1.67002,1.63644,0.00986,0.0295397,0.00984655,0.0295397,0.00984655,0.0295397,0.00984655,0.0295397,0.00984655
33,103.885,1.66773,1.57646,0.00785,0.61078,0.51724,0.55395,0.29271,1.72294,1.53611,0.0102,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
34,106.819,1.66726,1.50505,0.00768,0.68928,0.54425,0.59351,0.31251,1.68101,1.5214,0.01008,0.02951,0.00983665,0.02951,0.00983665,0.02951,0.00983665,0.02951,0.00983665
35,109.792,1.69615,1.54619,0.0075,0.60682,0.57545,0.57881,0.31432,1.65914,1.54637,0.00996,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
36,112.742,1.64859,1.4623,0.00783,0.61017,0.50635,0.54994,0.292,1.69959,1.53362,0.0101,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
37,115.65,1.67229,1.46645,0.00767,0.5989,0.55929,0.58262,0.32197,1.66494,1.50298,0.00975,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
38,118.6,1.673,1.45673,0.00777,0.59615,0.61384,0.59241,0.32772,1.64103,1.42522,0.00981,0.0294505,0.00981685,0.0294505,0.00981685,0.0294505,0.00981685,0.0294505,0.00981685
39,121.54,1.65924,1.43834,0.00774,0.61329,0.58356,0.62266,0.34789,1.64475,1.39957,0.00988,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
40,124.493,1.67355,1.40128,0.00741,0.64343,0.59146,0.61763,0.33598,1.66976,1.48494,0.00999,0.0294208,0.00980695,0.0294208,0.00980695,0.0294208,0.00980695,0.0294208,0.00980695
41,127.432,1.65469,1.42738,0.00725,0.60184,0.57447,0.59111,0.32596,1.67382,1.45811,0.0099,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
42,130.44,1.65491,1.41691,0.00753,0.69041,0.55751,0.61807,0.33865,1.64924,1.37216,0.00979,0.0293912,0.00979705,0.0293912,0.00979705,0.0293912,0.00979705,0.0293912,0.00979705
43,133.391,1.65876,1.41212,0.00768,0.69696,0.53726,0.60166,0.33814,1.62147,1.43019,0.00963,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
44,136.323,1.60077,1.34638,0.00771,0.66268,0.59096,0.62775,0.35202,1.654,1.39043,0.00967,0.0293614,0.00978715,0.0293614,0.00978715,0.0293614,0.00978715,0.0293614,0.00978715
45,139.28,1.62474,1.34255,0.00767,0.71658,0.56567,0.6276,0.35328,1.66473,1.36781,0.00997,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
46,142.221,1.64668,1.35636,0.00741,0.68853,0.54514,0.59769,0.33645,1.65886,1.50581,0.00988,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
47,145.159,1.60893,1.33136,0.00725,0.66118,0.58303,0.62442,0.34215,1.64441,1.34454,0.0097,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
48,148.098,1.61754,1.31566,0.00769,0.66011,0.59543,0.62983,0.34687,1.66296,1.42459,0.00977,0.029302,0.00976735,0.029302,0.00976735,0.029302,0.00976735,0.029302,0.00976735
49,151.042,1.60693,1.30247,0.00719,0.62264,0.61965,0.63359,0.34471,1.62127,1.4449,0.00968,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
50,153.987,1.59416,1.31764,0.00732,0.7118,0.56561,0.64402,0.35619,1.65965,1.36692,0.00978,0.0292724,0.00975745,0.0292724,0.00975745,0.0292724,0.00975745,0.0292724,0.00975745
51,156.923,1.61039,1.28308,0.00789,0.62075,0.61438,0.63636,0.36022,1.62294,1.355,0.00954,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
52,159.891,1.6167,1.29915,0.0075,0.6689,0.5632,0.62375,0.35264,1.61831,1.35967,0.00953,0.0292426,0.00974755,0.0292426,0.00974755,0.0292426,0.00974755,0.0292426,0.00974755
53,162.849,1.61838,1.27623,0.00714,0.71081,0.60116,0.65128,0.36963,1.64371,1.30213,0.00971,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
54,165.808,1.6001,1.25759,0.007,0.71494,0.58947,0.64953,0.36186,1.62623,1.30833,0.00961,0.0292129,0.00973765,0.0292129,0.00973765,0.0292129,0.00973765,0.0292129,0.00973765
55,168.76,1.60181,1.25205,0.00722,0.7286,0.59938,0.64505,0.37004,1.63914,1.33906,0.00946,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
56,171.717,1.57863,1.24063,0.00725,0.73101,0.55968,0.63925,0.37051,1.60571,1.32359,0.00957,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
57,174.658,1.5678,1.204,0.00711,0.63174,0.61379,0.6534,0.38056,1.59458,1.27437,0.00924,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
58,177.644,1.61053,1.20855,0.00686,0.64579,0.6018,0.65003,0.36517,1.61841,1.3507,0.00952,0.0291536,0.00971785,0.0291536,0.00971785,0.0291536,0.00971785,0.0291536,0.00971785
59,180.59,1.582,1.19733,0.00713,0.70863,0.59489,0.65325,0.37932,1.6315,1.28912,0.00945,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
60,183.53,1.58012,1.18715,0.00716,0.65474,0.60654,0.62362,0.35297,1.6399,1.40188,0.00959,0.0291238,0.00970795,0.0291238,0.00970795,0.0291238,0.00970795,0.0291238,0.00970795
61,186.474,1.54448,1.16211,0.00687,0.62578,0.65495,0.65855,0.37203,1.60127,1.31442,0.00953,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
62,189.448,1.54022,1.17022,0.00728,0.61724,0.6083,0.63371,0.36197,1.62879,1.35874,0.00969,0.0290941,0.00969805,0.0290941,0.00969805,0.0290941,0.00969805,0.0290941,0.00969805
